Country or Area,Element,Year,Unit,Value,Value Footnotes
Colombia,Food supply quantity (g/capita/day),2001,g/capita/day,6.91,Fc
Colombia,Food supply quantity (g/capita/day),2000,g/capita/day,6.8,Fc
Colombia,Food supply quantity (g/capita/day),1999,g/capita/day,2.38,Fc
Colombia,Food supply quantity (g/capita/day),1998,g/capita/day,7.07,Fc
Colombia,Food supply quantity (g/capita/day),1997,g/capita/day,2.84,Fc
Colombia,Food supply quantity (g/capita/day),1996,g/capita/day,2.41,Fc
Colombia,Food supply quantity (g/capita/day),1995,g/capita/day,21.71,Fc
Colombia,Food supply quantity (g/capita/day),1994,g/capita/day,19.92,Fc
Colombia,Food supply quantity (g/capita/day),1993,g/capita/day,24.72,Fc
Colombia,Food supply quantity (g/capita/day),1992,g/capita/day,23.87,Fc
Colombia,Food supply quantity (g/capita/day),1991,g/capita/day,1.45,Fc
Colombia,Food supply quantity (g/capita/day),1990,g/capita/day,5.81,Fc
Colombia,Food supply quantity (g/capita/day),1989,g/capita/day,19.44,Fc
Colombia,Food supply quantity (g/capita/day),1988,g/capita/day,19.07,Fc
Colombia,Food supply quantity (g/capita/day),1987,g/capita/day,13.84,Fc
Colombia,Food supply quantity (g/capita/day),1986,g/capita/day,2.26,Fc
Colombia,Food supply quantity (g/capita/day),1985,g/capita/day,10.65,Fc
Colombia,Food supply quantity (g/capita/day),1984,g/capita/day,5.57,Fc
Colombia,Food supply quantity (g/capita/day),1983,g/capita/day,9.57,Fc
Colombia,Food supply quantity (g/capita/day),1982,g/capita/day,6.5,Fc
Colombia,Food supply quantity (g/capita/day),1981,g/capita/day,3.21,Fc
Colombia,Food supply quantity (g/capita/day),1980,g/capita/day,8.23,Fc
Colombia,Food supply quantity (g/capita/day),1979,g/capita/day,15.98,Fc
Colombia,Food supply quantity (g/capita/day),1978,g/capita/day,17.59,Fc
Colombia,Food supply quantity (g/capita/day),1977,g/capita/day,36.19,Fc
Colombia,Food supply quantity (g/capita/day),1976,g/capita/day,37.73,Fc
Colombia,Food supply quantity (g/capita/day),1975,g/capita/day,47.47,Fc
Colombia,Food supply quantity (g/capita/day),1974,g/capita/day,44.29,Fc
Colombia,Food supply quantity (g/capita/day),1973,g/capita/day,55.05,Fc
